Nome;Tipo
COLEGIO NOSSA SENHORA DAS GRACAS;Privada
COLEGIO NOVA DIMENSAO SS LTDA;Privada
COLEGIO NOVA DIMENSAO UNIDADE I;Privada
COLEGIO NOVO SECULO;Privada
COLEGIO OSWALDO TOGNINI;Privada
COLEGIO PINTE O SETE;Privada
COLEGIO POLI;Privada
COLEGIO PRIMAVERA;Privada
COLEGIO PROF LOURIVAL MARTINS FAGUNDES;Privada
COLEGIO RAUL SANS DE MATOS;Privada
COLEGIO REFFERENCIAL;Privada
COLEGIO REI LEAO;Privada
COLEGIO REINO CRESCER;Privada
COLEGIO RUI BARBOSA;Privada
COLEGIO RUI BARBOSA - UNIDADE MULTIPLICANDO;Privada
COLEGIO RUI BARBOSA -UNIDADE AERO RANCHO;Privada
COLEGIO SALESIANO DOM BOSCO;Privada
COLEGIO SANTEL;Privada
COLEGIO SAO FRANCISCO EIEFM;Privada
COLEGIO SIGMA BERCARIO E EDUCACAO INFANTIL LTDA;Privada
COLEGIO STATUS - UNIDADE 1;Privada
COLEGIO STATUS - UNIDADE 3;Privada
COLEGIO STATUS - UNIDADE II;Privada
COLEGIO STATUS - UNIDADE JARDIM DOS ESTADOS;Privada
COLEGIO SUCESSO;Privada
COLEGIO TICTAC E INSTITUTO PENRABEL;Privada
COLEGIO VIDA E LUZ;Privada
COLEGIO VIDA FELIZ;Privada
COLEGIO VIP;Privada
CONSERVATORIO MUSICAL CAMPO GRANDE;Privada
CORI-CENTRO DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;Privada
CRECHE NOSSA SENHORA AUXILIADORA - UNIDADE I;Privada
CRECHE NOSSA SENHORA AUXILIADORA - UNIDADE II;Privada
CRECHE SANTA FE;Privada
CROE - SONHO ENCANTADO;Privada
DESAFIO CENTRO EDUCACIONAL;Privada
EDUCANDARIO ESPIRITA BLAISE PASCAL;Privada
EEI TURMINHA DO PIU-PIU E EF EL - SHADAI;Privada
EEIEF ALTERNATIVA;Privada
EEIEF PARADIGMA;Privada
ENERGIA EEIEF;Privada
ESC EVANGELICA PASTOR HILARIO COLOGNESI;Privada
ESCOLA ABC JUNIOR;Privada
ESCOLA ACOLHER;Privada
ESCOLA AFETIVA;Privada
ESCOLA AGUAPE;Privada
ESCOLA AMARELINHA YELLOW;Privada
ESCOLA AMARELINHA YELLOW - UNIDADE II;Privada
ESCOLA ANTONIO LUIZ PEREIRA;Privada
ESCOLA ATITUDE;Privada
ESCOLA ATIVA;Privada
ESCOLA ATUAL EIEF;Privada
ESCOLA BATISTA ERILASIO NOGUEIRA;Privada
ESCOLA BETANIA;Privada
ESCOLA CAMINHO DO SABER;Privada
ESCOLA CARROSSEL EDUCAMP;Privada
ESCOLA CARROSSEL NOVO ESTILO;Privada
ESCOLA CHEIRO DE ALECRIM;Privada
ESCOLA COLO DE MAE;Privada
ESCOLA CONQUISTA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL EIRELE-ME;Privada
ESCOLA CRESCENDO EIEF;Privada
ESCOLA CRIATIBRINCANDO DE EIEF LTDA;Privada
ESCOLA CRIATIVIDADE;Privada
ESCOLA CRISTA ESTACAO CRIANCA;Privada
ESCOLA CURUMIM;Privada
ESCOLA DE DESENVOLVIMENTO ESPECIAL JULIANO FERNANDES VARELA;Privada
ESCOLA DE EDUCACAO FUNDAMENTAL ALFA LTDA -ME;Privada
ESCOLA DE EDUCACAO FUNDAMENTAL BETA LTDA -ME;Privada
ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL MIL CONTOS;Privada
ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL NOVO FUTURO LTDA;Privada
ESCOLA DE EDUCACAO INFANTIL FAZ DE CONTA E ENSINO FUNDAMENTAL NOVA GERACAO;Privada
ESCOLA DE EDUCACAO INFANTIL SOSSEGO DA MAMAE;Privada
ESCOLA DESPERTAR;Privada
ESCOLA DESPERTAR DE ENSINO FUNDAMENTAL;Privada
ESCOLA DO SESC CAMILLO BONI;Privada
ESCOLA DO SESI CAMPO GRANDE;Privada
ESCOLA DOMUS AUREA;Privada
ESCOLA ESPECIAL COLIBRI;Privada
ESCOLA ESPECIAL O CASULO;Privada
ESCOLA ESPECIAL RAIO DE SOL;Privada
ESCOLA ESPIRITA ANALIA FRANCO;Privada
ESCOLA ESPLENDOR DO SABER;Privada
ESCOLA IDEAL;Privada
ESCOLA IMAGINAR UNIDADE I;Privada
ESCOLA IMAGINAR UNIDADE II;Privada
ESCOLA IMAGINAR UNIDADE III;Privada
ESCOLA INOVACAO;Privada
ESCOLA INTEGRADA HORIZONTE;Privada
ESCOLA INTEGRADA HORIZONTE - CAEEH;Privada
ESCOLA MATER CARMELI;Privada
ESCOLA MON PETIT;Privada
ESCOLA MON PETIT KIDS - AJEL EDUCACIONAL - EPP;Privada
ESCOLA MONTE CASTELO;Privada
ESCOLA MUNDO MAGICO E INSTITUTO MACHADO DE ASSIS;Privada
ESCOLA MUNDO MAGICO UNIDADE II;Privada
ESCOLA NAZARE EIEF;Privada
ESCOLA PADRAO LTDA;Privada
ESCOLA PARTICULAR SONHO MEU;Privada
ESCOLA PLANETA- UNIDADE CENTRO;Privada
ESCOLA PRIMEIRA INFANCIA;Privada
ESCOLA PROFª NAZARETH MENDES SILVA - EP NMS;Privada
ESCOLA RAIO DE SOL;Privada
ESCOLA SALESIANA SAO DOMINGOS SAVIO;Privada
ESCOLA SENAI DA CONSTRUCAO;Privada
ESCOLA SOMAE;Privada
ESCOLA TECNICA EDUCA;Privada
ESCOLA TOM DA VIDA EIRELLI;Privada
ESCOLA TURMA DA MONICA;Privada
ESCOLA URSINHO PANDA;Privada
ESCOLA VISCONDE DE CAIRU;Privada
ESPACO EDUCACIONAL INTERAGIR;Privada
ESPACO LIVRE;Privada
