Restrição de Atendimento;Nome;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Tipo;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude;Lat tratada;Long tratada;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE AMELIO DE CARVALHO BAIS;50005901;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA FLORESTAL, 42 COOPHATRABALHO. 79115-020 Campo Grande - MS.;(67) 32531049;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-204.356.911;-546.484.826;-204.356.911;-546.484.826;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ARLINDO DE ANDRADE GOMES;50005910;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;TRAVESSA COMIL, 32 SOBRINHO. 79110-504 Campo Grande - MS.;(67) 33147050;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação Profissional;;-20.455.454;-546.428.215;-20.455.454;-546.428.215;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE BLANCHE DOS SANTOS PEREIRA;50005928;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA TABIRA, 911 JARDIM TIJUCA. 79094-030 Campo Grande - MS.;(67) 33146055;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado, Atividade Complementar;-205.078.434;-546.642.373;-205.078.434;-546.642.373;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE DOLOR FERREIRA DE ANDRADE;50005936;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA ORLANDO DAROS, 143 ESQ.RUA PONTA GROSSA. PARQUE RESIDENCIAL MARIA APARECIDA PEDROSSIAN. 79044-490 Campo Grande - MS.;(67) 33145649;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.691.517;-545.492.982;-204.691.517;-545.492.982;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE DONA CONSUELO MULLER;50005944;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA EQUADOR, 70 JARDIM JACY. 79006-320 Campo Grande - MS.;(67) 33313996;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-204.859.035;-546.393.672;-204.859.035;-546.393.672;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE DR ARTHUR DE VASCONCELLOS DIAS;50005952;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DOUTOR JIVAGO, 744 CONJUNTO RESIDENCIAL ESTRELA DO SUL. 79013-820 Campo Grande - MS.;(67) 33510835;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.202.786;-545.961.582;-204.202.786;-545.961.582;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE JOSE BARBOSA RODRIGUES;50005979;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ELESBAO MURTINHO, 856 UNIVERSITARIO. 79063-040 Campo Grande - MS.;(67) 993186316;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atividade Complementar;-205.195.054;-545.959.295;-205.195.054;-545.959.295;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE JOSE MAMEDE DE AQUINO;50005987;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA HEITOR VIEIRA DE ALMEIDA, 287 JARDIM AEROPORTO. 79106-053 Campo Grande - MS.;(67) 33211674;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atividade Complementar;-20.441.602;-546.873.578;-20.441.602;-546.873.578;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE JOSE MARIA HUGO RODRIGUES;50005995;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA HUGO PEREIRA DO VALE, 468 MATA DO JACINTO. 79033-210 Campo Grande - MS.;(67) 33148130;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.250.539;-545.703.712;-204.250.539;-545.703.712;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL LINO VILLACHA;50006002;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA JERONIMO DE ALBUQUERQUE, 1941 LADO/ POSTO POLICIAL. NOVA LIMA. 79017-121 Campo Grande - MS.;(67) 33542239;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-20.389.199;-545.654.238;-20.389.199;-545.654.238;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE LUCIA MARTINS COELHO;50006010;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA BAHIA, 355 JARDIM DOS ESTADOS. 79002-530 Campo Grande - MS.;(67) 33141237;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado;-204.595.468;-546.025.017;-204.595.468;-546.025.017;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE MAESTRO FREDERICO LIEBERMANN;50006029;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA MONTE CASTELO, 50 MONTE CASTELO. 79010-400 Campo Grande - MS.;(67) 33561352;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atividade Complementar;-204.349.731;-546.086.852;-204.349.731;-546.086.852;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE MAESTRO HEITOR VILLA LOBOS;50006037;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ANTONIO ESTEVAO FIGUEIREDO, 209 JARDIM PARATI. 79081-580 Campo Grande - MS.;(67) 33462351;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-20.509.167;-546.329.318;-20.509.167;-546.329.318;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE MARIA ELIZA BOCAYUVA CORREA DA COSTA;50006045;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA CIRO ARAUJO FRANCA, 412 VILA MARGARIDA. 79023-270 Campo Grande - MS.;(67) 33141261;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atividade Complementar;-204.341.193;-545.893.826;-204.341.193;-545.893.826;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEEP PE JOAO GREINER;50006053;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA MACUNAIMA, 199 CONJUNTO RESIDENCIAL ESTRELA DO SUL. 79013-290 Campo Grande - MS.;(67) 992043462;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação Profissional;Atendimento Educacional Especializado, Atividade Complementar;-204.183.504;-545.973.048;-204.183.504;-545.973.048;;;;
