Restrição de Atendimento;Nome;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Tipo;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude;Lat tratada;Long tratada;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA MON PETIT KIDS - AJEL EDUCACIONAL - EPP;50033573;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA NORTELANDIA, 658 SANTA FE. 79021-280 Campo Grande - MS.;(67) 30440061;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-204.527.969;-545.880.419;-204.527.969;-545.880.419;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO REFFERENCIAL;50033611;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DA IMPRENSA, 139 MONTE CASTELO. 79002-290 Campo Grande - MS.;(67) 30430109;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-20.447.417;-546.173.896;-20.447.417;-546.173.896;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;REDE DE ENSINO TECNICO CETEPS;50033638;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA PERNAMBUCO, 1332 MONTE CASTELO. 79002-907 Campo Grande - MS.;(67) 30253901;Privada;Particular;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Profissional;;-204.549.292;-546.057.034;-204.549.292;-546.057.034;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;MAPLE BEAR;50033743;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;R. RODOLFO JOSE PINHO, 1386 JARDIM SAO BENTO. 79004-690 Campo Grande - MS.;(67) 992033762;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.047.653;-545.960.421;-2.047.653;-545.960.421;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;LE IRDAK;50033875;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA RAUL PIRES BARBOSA, 1583 CHACARA CACHOEIRA. 79040-150 Campo Grande - MS.;(67) 33410990;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-204.629.268;-545.765.956;-204.629.268;-545.765.956;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL JEAN PIAGET;50033883;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA MARCILIO DIAS, 74 VILA OLINDA. 79060-240 Campo Grande - MS.;(67) 30292670;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.049.546.948;-546.097.711;-2.049.546.948;-546.097.711;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO DE EDUCACAO COOPERAR LTDA;50033930;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA JOAO DE SOUZA, 146 VILA ALBUQUERQUE. 79070-302 Campo Grande - MS.;(67) 32534264;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-20.504.778;-546.057.938;-20.504.778;-546.057.938;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROF ELOY SOUZA DA COSTA;50033964;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CABO VERDE, 900 JARDIM TIJUCA. 79094-570 Campo Grande - MS.;(67) 20204273;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-2.051.240.611;-546.621.174;-2.051.240.611;-546.621.174;;;;
ESCOLA EXCLUSIVA DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO;CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO O CASULO;50033972;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DO PORTO, 658 COOPHAVILA II. 79097-160 Campo Grande - MS.;(67) 30254547;Privada;Filantrópica;Sim;Sim;Escola sem matrícula de escolarização;;Atendimento Educacional Especializado;-205.365.073;-546.697.949;-205.365.073;-546.697.949;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA SENAI DA CONSTRUCAO;50034022;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA RACHID NEDER, 1939 MONTE CASTELO. 79010-170 Campo Grande - MS.;(67) 33572000;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Profissional;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFESSORA MARIA REGINA DE VASCONCELOS GALVAO;50034030;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA JOSE PEDROSSIAN, 1270 PARQUE NOVO SECULO. 79072-618 Campo Grande - MS.;(67) 20204152;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado, Atividade Complementar;-2.055.737;-5.460.194.854;-2.055.737;-5.460.194.854;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA CONQUISTA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL EIRELE-ME;50034073;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA SEGREDO, 279 CORONEL ANTONINO. 79013-080 Campo Grande - MS.;(67) 33495202;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.224.523;-545.927.307;-204.224.523;-545.927.307;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA AFETIVA;50034120;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ACROPOLE, 160 LOTEAMENTO BOSQUE DA ESPERANCA. 79036-516 Campo Grande - MS.;(67) 30290626;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-20.432.074;-545.681.753;-20.432.074;-545.681.753;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO MASTER LTDA;50034197;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA JERIBA, 653 CHACARA CACHOEIRA. 79040-120 Campo Grande - MS.;(67) 33455151;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Médio;;-2.046.432.667;-5.458.406.667;-2.046.432.667;-5.458.406.667;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO FUNDAMENTAL ALFA LTDA -ME;50034219;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA JERIBA, 653 CHACARA CACHOEIRA. 79040-120 Campo Grande - MS.;(67) 33455151;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-2.046.487.167;-5.458.398;-2.046.487.167;-5.458.398;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA DE EDUCACAO FUNDAMENTAL BETA LTDA -ME;50034227;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA JERIBA, 653 CHACARA CACHOEIRA. 79040-120 Campo Grande - MS.;(67) 33455151;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-2.046.361.667;-5.458.522.667;-2.046.361.667;-5.458.522.667;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;BERCARIO PAULO FREIRE;50034286;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DOUTOR ZERBINI, 933 CHACARA CACHOEIRA. 79040-040 Campo Grande - MS.;(67) 32538846;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROF ELZA FRANCISCA DE SOUZA MACIEL;50034308;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ADVENTOR DIVINO DE ALMEIDA, 1480 JARDIM NOROESTE. 79045-070 Campo Grande - MS.;(67) 20204280;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-2.045.299.833;-5.452.568.833;-2.045.299.833;-5.452.568.833;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EDUCACAO PROFISSIONAL-SENAC TURISMO E GASTRONOMIA;50034383;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ANTONIO MARIA COELHO, 3368 JARDIM DOS ESTADOS. 79002-221 Campo Grande - MS.;(67) 33126260;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Profissional;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ABC JUNIOR;50034430;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA TRINDADE, 97 JARDIM PAULISTA. 79050-480 Campo Grande - MS.;(67) 33422058;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROFESSORA EMY ISHIDA NASCIMENTO NOGUEIRA;50034448;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ANTONIO MARIA COELHO, 4.333 SANTA FE. 79021-170 Campo Grande - MS.;(67) 20204401;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.045.233.918;-5.458.882.637;-2.045.233.918;-5.458.882.637;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CASA DE MARIA;50034472;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA TENESSE, 160 JARDIM PRESIDENTE. 79014-010 Campo Grande - MS.;(67) 992980511;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-20.412.585;-5.459.182;-20.412.585;-5.459.182;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ALMIRANTE TAMANDARE - CCAT BABY;50034480;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA MADRI, 259 VILA ALBA. 79100-430 Campo Grande - MS.;(67) 32534002;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE ESTUDOS ASES DA EDUCACAO LTDA;50034499;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA VINTE E CINCO DE DEZEMBRO, 1115 MONTE CASTELO. 79010-220 Campo Grande - MS.;(67) 33820317;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO MON GEANT ENSINO FUNDAMENTAL I E II LTDA;50034537;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA NORTELANDIA, 658 SANTA FE. 79021-280 Campo Grande - MS.;(67) 30440061;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GEMS - CENTRO EDUCACIONAL MS LTDA - EDC - ESCOLA DE CURSOS;50034561;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA GURY MARQUES, 4346 UNIVERSITARIO. 79112-342 Campo Grande - MS.;(67) 30560020;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação de Jovens Adultos;;-204.502.513;-5.465.151.709;-204.502.513;-5.465.151.709;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO DE EXCELENCIA EM BOVINOCULTURA DE CORTE;50034570;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA RADIO MAIA, 830 EMBRAPA GADO DE CORT. VILA POPULAR. 79106-550 Campo Grande - MS.;(67) 933206919;Privada;Particular;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Profissional;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO ESTADUAL DE FORMACAO DE PROFESSORES INDIGENAS DE MS;50034600;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA TREZE DE MAIO, 1090 3º ANDAR - APTO 1. CENTRO. 79004-420 Campo Grande - MS.;(67) 33658397;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Médio, Educação Profissional;;-204.753.243;-546.134.996;-204.753.243;-546.134.996;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL PROFESSOR ALBERTO ELPIDIO FERREIRA DIAS - PROFESSOR TITO;50034626;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA FARIDE GEORGE, 1344 JARDIM ANACHE. 79017-185 Campo Grande - MS.;(67) 991827892;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atividade Complementar;-2.037.337.912;-5.456.356.033;-2.037.337.912;-5.456.356.033;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROFESSOR ALBERTO GUILHERME BATISTOTI;50034634;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA LUXEMBURGO, 2000 CENTRO. 79125-000 Campo Grande - MS.;(67) 20204402;Municipal;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;-2.098.545.287;-5.450.444.567;-2.098.545.287;-5.450.444.567;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI ZARIFE MARTINS FRANCA;50034650;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA RENATO NASSER, 77 LOTEAMENTO VESPASIANO MARTINS. 79075-415 Campo Grande - MS.;(67) 20204403;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-2.055.253.814;-5.463.745.643;-2.055.253.814;-5.463.745.643;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO PRIMAVERA;50034685;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DA PRAIA, 836 COOPHAVILA II. 79097-070 Campo Grande - MS.;(67) 33735694;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO REINO CRESCER;50034812;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA FRANCISCO AGUIAR PIMENTA, 1223 UNIVERSITARIO. 79063-100 Campo Grande - MS.;(67) 30431143;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-205.270.375;-5.459.783.108;-205.270.375;-5.459.783.108;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO HARMONIA - UNIDADE II;50034839;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA PIRAJU, 374 JARDIM NOVA ERA. 79003-180 Campo Grande - MS.;(67) 33416211;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;;-204.730.466;-5.459.637.822;-204.730.466;-5.459.637.822;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTITUTO VIEIRA DE EDUCACAO LTDA;50034855;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA PRIMEIRO DE MAIO, 84 JARDIM SAO BENTO. 79004-620 Campo Grande - MS.;(67) 30221205;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA TOM DA VIDA EIRELLI;50034901;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA QUINTINO BOCAIUVA, 1175 JARDIM PAULISTA. 79050-112 Campo Grande - MS.;(67) 33063003;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;GRUPO EDUCACIONAL ATOS;50035010;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA MINISTRO JOAO ARINOS, 4136 TIRADENTES. 79041-005 Campo Grande - MS.;(67) 33429000;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-204.677.547;-5.457.652.025;-204.677.547;-5.457.652.025;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO NOSSA SENHORA DAS GRACAS;50035037;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DOUTOR FERREIRA DE ANDRADE, 1598 CORONEL ANTONINO. 79010-260 Campo Grande - MS.;(67) 996033232;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Ensino Médio;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA PARTICULAR SONHO MEU;50035070;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA JARDIM SILVEIRA, 595 JARDIM BONANCA. 79092-151 Campo Grande - MS.;(67) 33805181;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO MAESTRIA - ENEM E VESTIBULARES;50035088;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA CACONDE, 75 SANTA FE. 79021-050 Campo Grande - MS.;(67) 30565494;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO CONSTRUINDO O FUTURO;50035126;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DA PRAIA, 836 COOPHAVILA II. 79097-070 Campo Grande - MS.;(67) 33735694;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO SIGMA BERCARIO E EDUCACAO INFANTIL LTDA;50035134;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA JULIO BARONE, 250 MONTE CASTELO. 79002-311 Campo Grande - MS.;(67) 32010010;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CENTRO EDUCACIONAL ARTE DE ENSINAR;50035142;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA DOUTOR GUNTER HANS, 4047 VILA SAO JORGE DA LAGOA. 79095-132 Campo Grande - MS.;(67) 991295318;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROFª LUZINETE CEZAR GONCALVES;50035150;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CORONEL ZELITO ALVES RIBEIRO, 270 JARDIM DO ZE PEREIRA. 79107-340 Campo Grande - MS.;(67) 20204405;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EMEI PROFª IRACEMA DA CUNHA BARRETO;50035266;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DONA JULIA SERRA, 427 VILA NASSER. 79117-234 Campo Grande - MS.;(67) 20204409;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil;;-2.041.308.844;-5.462.954.603;-2.041.308.844;-5.462.954.603;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM PROFª AGLAIR MARIA ALVES;50035274;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DA ILHA, 826 COOPHAVILA II. 79097-030 Campo Grande - MS.;(67) 20204184;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO ADVENTISTA VILAS BOAS;50035320;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA GIOCONDO ORSI, 848 VILA VILAS BOAS. 79050-270 Campo Grande - MS.;(67) 33048330;Privada;Particular;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;-2.048.607.914;-545.984.219;-2.048.607.914;-545.984.219;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO DE EDUCACAO INFANTIL MONTEIRO LOBATO LTDA;50035371;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;AVENIDA BOM PASTOR, 999 VILA VILAS BOAS. 79051-220 Campo Grande - MS.;(67) 993631332;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CRECHE NOSSA SENHORA AUXILIADORA - UNIDADE II;50035428;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA SAO PAULO, 1190 VILA CELIA. 79010-050 Campo Grande - MS.;(67) 996498410;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA;ESCOLA ESPECIAL O CASULO;50035452;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA DO PORTO, 658 COOPHAVILA II. 79097-160 Campo Grande - MS.;(67) 33613960;Privada;Filantrópica;Sim;Sim;Entre 51 e 200 matrículas de escolarização;Educação de Jovens Adultos;Atividade Complementar;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO FENNIX BABY;50035460;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ESPIRITO SANTO, 1611 VILA GOMES. 79022-330 Campo Grande - MS.;(67) 33242025;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Educação Infantil;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;COLEGIO STATUS - UNIDADE 3;50035509;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA VITORIO ZEOLLA, 1355 CARANDA BOSQUE. 79032-360 Campo Grande - MS.;(67) 32110008;Privada;Particular;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESPLENDOR DO SABER;50035517;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA ROTTERDAN, 582 PARQUE RESIDENCIAL RITA VIEIRA. 79052-293 Campo Grande - MS.;(67) 992376411;Privada;Confessional;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INSTY COLEGIO E CURSOS;50035576;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA BRASIL, 775 MONTE CASTELO. 79010-230 Campo Grande - MS.;(67) 33849044;Privada;Particular;Não;Sim;Até 50 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EXCLUSIVA DE ATIVIDADE COMPLEMENTAR;ASSOCIACAO SUL MATO GROSSENSE DE AMPARO A CRIANCA E AO ADOLESCENTE-ASSOMAT;50035649;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA PRESIDENTE NEREU, 685 JARDIM LEBLON. 79092-170 Campo Grande - MS.;(67) 996030234;Privada;Filantrópica;Não;Sim;Escola sem matrícula de escolarização;;Atividade Complementar;                              ;                              ;   .                           ;   .                           ;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NINHO JARDIM DE INFANCIA;50035673;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Privada;RUA CASEMIRO DE ABREU, 416 JARDIM SAO BENTO. 79004-190 Campo Grande - MS.;(67) 35067778;Privada;Particular;Não;Sim;Entre 51 e 200 matrículas de escolarização;Educação Infantil;;                              ;                              ;   .                           ;   .                           ;;;;
