Nome;Tipo
EMEI ALBA LUCIA SPENGLER DOS SANTOS PEREIRA;Municipal
EMEI CLAUDIO MARCOS MANCINI;Municipal
EMEI CAMPO VERDE;Municipal
EMEI CLEBE BRAZIL FERREIRA;Municipal
EMEI PROFª THEREZINHA MANDETTA TRAD;Municipal
EMEI ODETE TRINDADE BENITES;Municipal
EMEI VO FINA;Municipal
EMEI ZACARIAS VIEIRA DE ANDRADE;Municipal
CORI-CENTRO DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL;Privada
SOLETRANDO ESCOLA DE ED INFANTIL E ENSINO FUNDAMENTAL;Privada
CENTRO EDUCACIONAL CONSTRUINDO O SABER;Privada
ESCOLA DO SESI CAMPO GRANDE;Privada
COLEGIO SAO FRANCISCO EIEFM;Privada
CRECHE IRMA IRMA ZORZI;Estadual
ESCOLA CRIATIBRINCANDO DE EIEF LTDA;Privada
LAR NOSSA SENHORA APARECIDA;Privada
NOTA 10 - UNIDADE FELIZ IDADE;Privada
EM NAGEN JORGE SAAD;Municipal
EMEI PROFª MARLY SANT ANNA PINHEIRO;Municipal
ESCOLA MUNDO MAGICO E INSTITUTO MACHADO DE ASSIS;Privada
ESCOLA DESPERTAR DE ENSINO FUNDAMENTAL;Privada
CENTRO EDUCACIONAL PAULO DE TARSO;Privada
CENTRO EDUCACIONAL SUPERACAO;Privada
INSTITUTO JOAO BATISTA DE ENSINO;Privada
EEIEF PARADIGMA;Privada
OBRAS SOCIAIS E COMUNITARIA DO AERO RANCHO;Privada
EM DR PLINIO BARBOSA MARTINS;Municipal
EM CONSULESA MARGARIDA MAKSOUD TRAD;Municipal
EMEI MARCO ANTONIO SANTULLO;Municipal
ESCOLA CARROSSEL EDUCAMP;Privada
CENTRO DE EDUCACAO INFANTIL VO INEZ;Privada
SOCIEDADE EUNICE WEAVER DE CAMPO GRANDE;Privada
COLEGIO HARMONIA - UNIDADE I;Privada
COLEGIO NOVO SECULO;Privada
ASSOC ESP DE APOIO A CRIANCA E AO ADOLESCENTE;Privada
EMEI PROFESSORA ELENIR ZANQUETA MOLINA;Municipal
SESC ADMINISTRACAO REGIONAL NO ESTADO DO MATO GROSSO DO SUL;Privada
COLEGIO VIP;Privada
EM ELIZIO RAMIREZ VIEIRA;Municipal
EM IRENE SZUKALA;Municipal
ASSOCIACAO CLUBE DE MAES CANTINHO DA AMIZADE;Privada
COLEGIO RUI BARBOSA;Privada
CENTRO DE EDUCACAO PROFISSIONAL - SENAC CAMPO GRANDE;Privada
COLEGIO GERACAO RESULTADOS;Privada
FACULDADE DE TECNOLOGIA SENAI CAMPO GRANDE;Privada
COLEGIO LICEU - UNID II;Privada
CENTRO DE EDUCACAO INTEGRADA EIRELI;Privada
ESCOLA INTEGRADA HORIZONTE;Privada
ESCOLA DE EDUCACAO INFANTIL SOSSEGO DA MAMAE;Privada
EE PROFª CLARINDA MENDES DE AQUINO;Estadual
COLEGIO NOVA DIMENSAO SS LTDA;Privada
EMEI PASCOALA VERA RIOS;Municipal
EMEI JOANA MENDES DOS SANTOS;Municipal
EMEI JARDIM CARIOCA;Municipal
EMEI ENGENHEIRO VALDEMIR CORREA DE RESENDE;Municipal
EM PROFª ARLENE MARQUES ALMEIDA;Municipal
CENTRO DE ENSINO IMPACTO SS LTDA - ME;Privada
COLEGIO CBA ABC;Privada
EE POLO PROFª REGINA LUCIA ANFFE NUNES BETINE;Estadual
EMEI PROF VALDOMIRO ALVES GONCALVES;Municipal
EMEI CLOTILDE CHAIA;Municipal
EMEI TIA EVA;Municipal
COLEGIO VIDA FELIZ;Privada
COLEGIO VIDA E LUZ;Privada
EE POLO FRANCISCO CANDIDO DE REZENDE;Estadual
ESCOLA BATISTA ERILASIO NOGUEIRA;Privada
NOTA 10 - UNIDADE GARCAS;Privada
EMEI JOSE RAMAO CANTERO;Municipal
EMEI SONIA HELENA BALDO BERNARDO DOS SANTOS;Municipal
EMEI PROF LAURA RODRIGUES DE OLIVEIRA;Municipal
CENTRO DE EDUCACAO PROFISSIONAL EZEQUIEL FERREIRA LIMA;Estadual
ESCOLA SALESIANA SAO DOMINGOS SAVIO;Privada
COLEGIO DE ENSINO MEDIO NOVA GERACAO;Privada
CEC-COLEGIO EVANGELICO CAMPO-GRANDENSE;Privada
COLEGIO BIONATUS;Privada
LAR CRECHE NOSSA SENHORA DO PERPETUO SOCORRO;Privada
EMEI MARTA GUARANI;Municipal
ESCOLA DESPERTAR;Privada
ESCOLA BETANIA;Privada
EM PROFESSOR JOSE DE SOUZA;Municipal
EM PROFESSOR ARASSUAY GOMES DE CASTRO;Municipal
EM NERONE MAIOLINO;Municipal
COLEGIO CLASSE A;Privada
CENTRO DE CAPACITACAO DE PROFISSIONAIS DA EDUCACAO E DE ATENDIMENTO AS PESSOAS COM SURDEZ - CAS;Estadual
CENTRO ESTADUAL DE EDUCACAO ESPECIAL E INCLUSIVA;Estadual
EM CELINA MARTINS JALLAD;Municipal
CEIAN- ANANDAMOYI;Privada
EMEI MICHELI REGINA LOCATELLI;Municipal
NOTA 10 INTERNACIONAL - UNIDADE GENERAL OSORIO;Privada
EMEI MARIA DULCE PRATA CANCADO;Municipal
EMEI FELIPE SAFADI ALVES NOGUEIRA;Municipal
COLEGIO BIONATUS II;Privada
ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL MIL CONTOS;Privada
CAEE - CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO DA ASSOCIACAO PESTALOZZI DE CAMPO GRANDE MS;Privada
CAEE - GIRASSOL;Privada
EMEI NILDA DE ALMEIDA COELHO;Municipal
EMEI VARANDAS DO CAMPO;Municipal
EMEI JOSE CARLOS DE LIMA;Municipal
EMEI GEORGINA RAMIRES DA SILVA;Municipal
EMEI SANTA EMILIA;Municipal
ASSOCIACAO TAGARELA;Privada
EMEI JURACY GALVAO OLIVEIRA;Municipal
ESCOLA ATITUDE;Privada
ESCOLA ATIVA;Privada
CENTRO DE APOIO PEDAGOGICO AO DEFICIENTE VISUAL - CAP-DV-MS;Estadual
ESCOLA MON PETIT;Privada
COLEGIO CLASSE A UNIDADE II;Privada
CEAMETEA-CENTRO ESTADUAL DE APOIO MULTIDISCIPLINAR EDUCACIONAL;Estadual
ESCOLA PLANETA- UNIDADE CENTRO;Privada
CENTRO ESTADUAL DE ATENDIMENTO MULTIDISCIPLINAR PARA ALTAS HABILIDADES SUPERDOTACAO-CEAMAHS;Estadual
ESCOLA PRIMEIRA INFANCIA;Privada
COLEGIO BIONATUS-ENSINO FUNDAMENTAL;Privada
CENTEC CURSOS TECNICOS LTDA-ME;Privada
CEMAR - CENTRO EDUCACIONAL MARECHAL RONDON;Privada
ESCOLA MON PETIT KIDS - AJEL EDUCACIONAL - EPP;Privada
